sequence,repeat,cutoff,candidate_count,elapsed_ns,elapsed_ms
1625,2,10,10,226597261,226.597261
1626,2,50,50,1102340455,1102.340455
1627,2,20,20,443115967,443.115967
1628,2,30,30,656936372,656.936372
1629,2,50,50,1117884973,1117.884973
1630,2,30,30,673761100,673.761100
1631,2,10,10,198698094,198.698094
1632,2,20,20,436654541,436.654541
1633,2,10,10,201363083,201.363083
1634,2,20,20,403607423,403.607423
1635,2,30,30,594447590,594.447590
1636,2,50,50,1044064398,1044.064398
1637,2,30,30,677384940,677.384940
1638,2,10,10,207254892,207.254892
1639,2,50,50,1102896503,1102.896503
1640,2,20,20,405719865,405.719865
1641,2,10,10,186647141,186.647141
1642,2,50,50,1024155255,1024.155255
1643,2,30,30,614889626,614.889626
1644,2,20,20,393315503,393.315503
1645,2,20,20,380628358,380.628358
1646,2,50,50,980241963,980.241963
1647,2,10,10,178534824,178.534824
1648,2,30,30,574414725,574.414725
1649,2,50,50,1010130759,1010.130759
1650,2,10,10,188025607,188.025607
1651,2,20,20,377590523,377.590523
1652,2,30,30,606446824,606.446824
1653,2,30,30,647193729,647.193729
1654,2,20,20,408076480,408.076480
1655,2,50,50,1094438859,1094.438859
1656,2,10,10,196752977,196.752977
1657,2,30,30,648107385,648.107385
1658,2,20,20,440016173,440.016173
1659,2,10,10,213255676,213.255676
1660,2,50,50,1073479693,1073.479693
1661,2,30,30,647350303,647.350303
1662,2,10,10,208071274,208.071274
1663,2,50,50,1075689059,1075.689059
1664,2,20,20,437827575,437.827575
1665,2,20,20,381576829,381.576829
1666,2,50,50,1004925405,1004.925405
1667,2,10,10,189286369,189.286369
1668,2,30,30,607473572,607.473572
1669,2,20,20,406101815,406.101815
1670,2,50,50,1005851625,1005.851625
1671,2,10,10,164717922,164.717922
1672,2,30,30,603657257,603.657257
1673,2,30,30,609365168,609.365168
1674,2,10,10,190140784,190.140784
1675,2,50,50,1007589749,1007.589749
1676,2,20,20,410265956,410.265956
1677,2,20,20,382008534,382.008534
1678,2,50,50,986575860,986.575860
1679,2,30,30,562142410,562.142410
1680,2,10,10,185403178,185.403178
1681,2,10,10,216750973,216.750973
1682,2,30,30,633445022,633.445022
1683,2,50,50,1052321577,1052.321577
1684,2,20,20,420972778,420.972778
1685,2,10,10,219070918,219.070918
1686,2,50,50,1093363638,1093.363638
1687,2,30,30,651434621,651.434621
1688,2,20,20,439346024,439.346024
1689,2,30,30,670133733,670.133733
1690,2,50,50,1113289999,1113.289999
1691,2,10,10,211216819,211.216819
1692,2,20,20,439128793,439.128793
1693,2,10,10,187100737,187.100737
1694,2,30,30,608117106,608.117106
1695,2,50,50,1007459078,1007.459078
1696,2,20,20,393521759,393.521759
1697,2,30,30,657440875,657.440875
1698,2,20,20,446003980,446.003980
1699,2,50,50,1091241353,1091.241353
1700,2,10,10,219520167,219.520167
1701,2,20,20,413837947,413.837947
1702,2,30,30,614032648,614.032648
1703,2,50,50,1027513380,1027.513380
1704,2,10,10,212796856,212.796856
1705,2,30,30,607200622,607.200622
1706,2,20,20,410231579,410.231579
1707,2,50,50,1027258938,1027.258938
1708,2,10,10,195268457,195.268457
1709,2,30,30,579013983,579.013983
1710,2,10,10,188646037,188.646037
1711,2,50,50,1004500621,1004.500621
1712,2,20,20,387222789,387.222789
1713,2,50,50,1022406422,1022.406422
1714,2,10,10,207269125,207.269125
1715,2,20,20,412475781,412.475781
1716,2,30,30,613072732,613.072732
1717,2,10,10,196771268,196.771268
1718,2,50,50,1069722486,1069.722486
1719,2,30,30,611399879,611.399879
1720,2,20,20,394886637,394.886637
1721,2,50,50,1049300336,1049.300336
1722,2,10,10,209738303,209.738303
1723,2,20,20,413157088,413.157088
1724,2,30,30,612648108,612.648108
1725,2,20,20,412308494,412.308494
1726,2,30,30,613523142,613.523142
1727,2,10,10,210599711,210.599711
1728,2,50,50,1011692785,1011.692785
1729,2,20,20,426715050,426.715050
1730,2,10,10,216514323,216.514323
1731,2,50,50,1095585338,1095.585338
1732,2,30,30,641213351,641.213351
1733,2,30,30,608056867,608.056867
1734,2,20,20,408973828,408.973828
1735,2,10,10,184131251,184.131251
1736,2,50,50,1004474647,1004.474647
1737,2,10,10,196081944,196.081944
1738,2,30,30,615600638,615.600638
1739,2,50,50,1032177721,1032.177721
1740,2,20,20,389148667,389.148667
1741,2,10,10,189965180,189.965180
1742,2,50,50,1092660897,1092.660897
1743,2,20,20,382775919,382.775919
1744,2,30,30,652901406,652.901406
1745,2,30,30,574222509,574.222509
1746,2,50,50,941989793,941.989793
1747,2,20,20,381387714,381.387714
1748,2,10,10,190188301,190.188301
1749,2,10,10,211326875,211.326875
1750,2,50,50,1074938680,1074.938680
1751,2,30,30,616831473,616.831473
1752,2,20,20,416007715,416.007715
1753,2,50,50,1071670811,1071.670811
1754,2,10,10,190877804,190.877804
1755,2,30,30,644159378,644.159378
1756,2,20,20,427625408,427.625408
1757,2,30,30,599723800,599.723800
1758,2,10,10,164620794,164.620794
1759,2,20,20,404661383,404.661383
1760,2,50,50,993711183,993.711183
1761,2,50,50,997351575,997.351575
1762,2,20,20,380817245,380.817245
1763,2,10,10,190216895,190.216895
1764,2,30,30,569307846,569.307846
1765,2,50,50,966726596,966.726596
1766,2,30,30,588769979,588.769979
1767,2,10,10,187917207,187.917207
1768,2,20,20,392145871,392.145871
1769,2,30,30,613405965,613.405965
1770,2,50,50,1023346828,1023.346828
1771,2,20,20,413471709,413.471709
1772,2,10,10,187357268,187.357268
1773,2,10,10,177491877,177.491877
1774,2,30,30,562589222,562.589222
1775,2,50,50,981882658,981.882658
1776,2,20,20,364925058,364.925058
1777,2,10,10,221890885,221.890885
1778,2,50,50,1098034999,1098.034999
1779,2,30,30,664433904,664.433904
1780,2,20,20,445417683,445.417683
1781,2,20,20,411567819,411.567819
1782,2,30,30,610702352,610.702352
1783,2,50,50,1008747305,1008.747305
1784,2,10,10,195942459,195.942459
1785,2,20,20,388685568,388.685568
1786,2,10,10,177245781,177.245781
1787,2,50,50,1002248888,1002.248888
1788,2,30,30,607449442,607.449442
1789,2,10,10,219565378,219.565378
1790,2,50,50,1075700932,1075.700932
1791,2,20,20,439362815,439.362815
1792,2,30,30,649138726,649.138726
1793,2,50,50,1009110019,1009.110019
1794,2,30,30,603856658,603.856658
1795,2,10,10,192663719,192.663719
1796,2,20,20,396303921,396.303921
1797,2,50,50,1049843726,1049.843726
1798,2,30,30,612069294,612.069294
1799,2,20,20,412861082,412.861082
1800,2,10,10,209851183,209.851183
1801,2,10,10,189668126,189.668126
1802,2,50,50,1002596132,1002.596132
1803,2,20,20,406797418,406.797418
1804,2,30,30,602500734,602.500734
1805,2,20,20,413426952,413.426952
1806,2,30,30,613636767,613.636767
1807,2,10,10,210891810,210.891810
1808,2,50,50,1023293299,1023.293299
1809,2,50,50,1011431874,1011.431874
1810,2,10,10,184751411,184.751411
1811,2,30,30,589714700,589.714700
1812,2,20,20,361409940,361.409940
1813,2,10,10,210781842,210.781842
1814,2,30,30,613119488,613.119488
1815,2,50,50,1029721320,1029.721320
1816,2,20,20,414054467,414.054467
1817,2,30,30,644874431,644.874431
1818,2,10,10,210603384,210.603384
1819,2,20,20,411081386,411.081386
1820,2,50,50,1067984488,1067.984488
1821,2,10,10,187129065,187.129065
1822,2,20,20,439596815,439.596815
1823,2,50,50,1095076836,1095.076836
1824,2,30,30,659113591,659.113591
1825,2,30,30,591823706,591.823706
1826,2,20,20,396565312,396.565312
1827,2,10,10,187848525,187.848525
1828,2,50,50,1005820012,1005.820012
1829,2,20,20,406469616,406.469616
1830,2,10,10,207468417,207.468417
1831,2,30,30,604687886,604.687886
1832,2,50,50,1025879875,1025.879875
1833,2,50,50,983778330,983.778330
1834,2,10,10,177657688,177.657688
1835,2,30,30,554301288,554.301288
1836,2,20,20,366044831,366.044831
1837,2,30,30,641197578,641.197578
1838,2,10,10,196075719,196.075719
1839,2,20,20,425901162,425.901162
1840,2,50,50,1056101609,1056.101609
1841,2,50,50,1023525843,1023.525843
1842,2,10,10,210669538,210.669538
1843,2,20,20,413431597,413.431597
1844,2,30,30,613906081,613.906081
1845,2,30,30,614535732,614.535732
1846,2,20,20,413855238,413.855238
1847,2,50,50,1025270319,1025.270319
1848,2,10,10,190144645,190.144645
1849,2,30,30,558882788,558.882788
1850,2,50,50,1008987195,1008.987195
1851,2,20,20,380421369,380.421369
1852,2,10,10,189090482,189.090482
