strategy,qid,kind,rank,latency_ms
hybrid,semantic-113,semantic,2,6
hybrid,semantic-114,semantic,0,6
hybrid,semantic-115,semantic,3,7
hybrid,semantic-116,semantic,3,9
hybrid,semantic-117,semantic,1,7
hybrid,semantic-118,semantic,1,7
hybrid,semantic-119,semantic,1,6
hybrid,semantic-120,semantic,1,8
routing,exact-001,exact,1,1
routing,exact-002,exact,1,1
routing,exact-003,exact,4,1
routing,exact-004,exact,1,1
routing,exact-005,exact,9,1
routing,exact-006,exact,1,1
routing,exact-007,exact,1,1
routing,exact-008,exact,1,1
routing,exact-009,exact,1,1
routing,exact-010,exact,1,1
routing,exact-011,exact,1,1
routing,exact-012,exact,2,1
routing,exact-013,exact,1,1
routing,exact-014,exact,1,1
routing,exact-015,exact,4,1
routing,exact-016,exact,1,1
routing,exact-017,exact,1,1
routing,exact-018,exact,1,1
routing,exact-019,exact,1,1
routing,exact-020,exact,1,1
routing,exact-021,exact,1,1
routing,exact-022,exact,1,1
routing,exact-023,exact,2,1
routing,exact-024,exact,2,1
routing,exact-025,exact,1,1
routing,exact-026,exact,1,1
routing,exact-027,exact,1,1
routing,exact-028,exact,1,1
routing,exact-029,exact,1,1
routing,exact-030,exact,1,1
routing,exact-031,exact,1,1
routing,exact-032,exact,1,1
routing,exact-033,exact,1,1
routing,exact-034,exact,1,1
routing,exact-035,exact,1,1
routing,exact-036,exact,1,1
routing,exact-037,exact,1,1
routing,exact-038,exact,1,1
routing,exact-039,exact,3,1
routing,exact-040,exact,1,1
routing,exact-041,exact,1,1
routing,exact-042,exact,1,1
routing,exact-043,exact,1,1
routing,exact-044,exact,1,1
routing,exact-045,exact,1,1
routing,exact-046,exact,6,1
routing,exact-047,exact,1,1
routing,exact-048,exact,1,1
routing,exact-049,exact,1,1
routing,exact-050,exact,5,1
routing,exact-051,exact,1,1
routing,exact-052,exact,1,1
routing,exact-053,exact,1,1
routing,exact-054,exact,1,1
routing,exact-055,exact,8,1
routing,exact-056,exact,2,1
routing,exact-057,exact,1,1
routing,exact-058,exact,1,1
routing,exact-059,exact,4,1
routing,exact-060,exact,1,1
routing,exact-061,exact,1,1
routing,exact-062,exact,1,1
routing,exact-063,exact,1,1
routing,exact-064,exact,1,1
routing,exact-065,exact,1,1
routing,exact-066,exact,1,1
routing,exact-067,exact,1,1
routing,exact-068,exact,1,1
routing,exact-069,exact,1,1
routing,exact-070,exact,1,1
routing,exact-071,exact,1,1
routing,exact-072,exact,1,1
routing,exact-073,exact,1,1
routing,exact-074,exact,1,1
routing,exact-075,exact,1,1
routing,exact-076,exact,1,1
routing,exact-077,exact,1,1
routing,exact-078,exact,1,1
routing,exact-079,exact,1,1
routing,exact-080,exact,1,1
routing,exact-081,exact,1,1
routing,exact-082,exact,1,1
routing,exact-083,exact,1,1
routing,exact-084,exact,1,1
routing,exact-085,exact,1,1
routing,exact-086,exact,1,1
routing,exact-087,exact,1,1
routing,exact-088,exact,1,1
routing,exact-089,exact,1,1
routing,exact-090,exact,1,1
routing,exact-091,exact,2,1
routing,exact-092,exact,1,1
routing,exact-093,exact,1,1
routing,exact-094,exact,4,1
routing,exact-095,exact,1,1
routing,exact-096,exact,1,1
routing,exact-097,exact,1,1
routing,exact-098,exact,3,1
routing,exact-099,exact,1,1
routing,exact-100,exact,1,1
routing,exact-101,exact,1,1
routing,exact-102,exact,1,1
routing,exact-103,exact,1,1
routing,exact-104,exact,1,1
routing,exact-105,exact,1,1
routing,exact-106,exact,1,1
routing,exact-107,exact,1,1
routing,exact-108,exact,1,1
routing,exact-109,exact,1,1
routing,exact-110,exact,1,1
routing,exact-111,exact,1,1
routing,exact-112,exact,1,1
routing,exact-113,exact,1,1
routing,exact-114,exact,1,1
routing,exact-115,exact,0,1
routing,exact-116,exact,1,1
routing,exact-117,exact,1,1
routing,exact-118,exact,1,1
routing,exact-119,exact,1,1
routing,exact-120,exact,1,1
routing,semantic-001,semantic,1,9
routing,semantic-002,semantic,1,7
routing,semantic-003,semantic,0,7
routing,semantic-004,semantic,2,6
routing,semantic-005,semantic,0,8
routing,semantic-006,semantic,1,8
routing,semantic-007,semantic,2,7
routing,semantic-008,semantic,1,8
routing,semantic-009,semantic,1,6
routing,semantic-010,semantic,2,7
routing,semantic-011,semantic,1,7
routing,semantic-012,semantic,1,8
routing,semantic-013,semantic,1,7
routing,semantic-014,semantic,1,7
routing,semantic-015,semantic,2,7
routing,semantic-016,semantic,1,8
routing,semantic-017,semantic,1,10
routing,semantic-018,semantic,2,6
routing,semantic-019,semantic,1,7
routing,semantic-020,semantic,1,6
routing,semantic-021,semantic,9,6
routing,semantic-022,semantic,1,7
routing,semantic-023,semantic,3,6
routing,semantic-024,semantic,6,7
routing,semantic-025,semantic,0,8
routing,semantic-026,semantic,1,7
routing,semantic-027,semantic,5,8
routing,semantic-028,semantic,1,8
routing,semantic-029,semantic,1,8
routing,semantic-030,semantic,1,9
routing,semantic-031,semantic,1,8
routing,semantic-032,semantic,5,6
routing,semantic-033,semantic,1,9
routing,semantic-034,semantic,3,7
routing,semantic-035,semantic,1,7
routing,semantic-036,semantic,2,7
routing,semantic-037,semantic,0,6
routing,semantic-038,semantic,1,7
routing,semantic-039,semantic,5,10
routing,semantic-040,semantic,1,10
routing,semantic-041,semantic,2,8
routing,semantic-042,semantic,1,7
routing,semantic-043,semantic,1,7
routing,semantic-044,semantic,1,7
routing,semantic-045,semantic,1,6
routing,semantic-046,semantic,2,7
routing,semantic-047,semantic,1,8
routing,semantic-048,semantic,1,7
routing,semantic-049,semantic,1,9
routing,semantic-050,semantic,4,7
routing,semantic-051,semantic,2,6
routing,semantic-052,semantic,1,7
routing,semantic-053,semantic,1,7
routing,semantic-054,semantic,6,7
routing,semantic-055,semantic,3,6
routing,semantic-056,semantic,1,6
routing,semantic-057,semantic,1,7
routing,semantic-058,semantic,1,5
routing,semantic-059,semantic,0,5
routing,semantic-060,semantic,1,6
routing,semantic-061,semantic,1,6
routing,semantic-062,semantic,5,6
routing,semantic-063,semantic,3,6
routing,semantic-064,semantic,1,6
routing,semantic-065,semantic,1,6
routing,semantic-066,semantic,2,6
routing,semantic-067,semantic,1,8
routing,semantic-068,semantic,0,6
routing,semantic-069,semantic,1,8
routing,semantic-070,semantic,1,6
routing,semantic-071,semantic,0,7
routing,semantic-072,semantic,1,7
routing,semantic-073,semantic,1,6
routing,semantic-074,semantic,1,6
routing,semantic-075,semantic,2,6
routing,semantic-076,semantic,1,8
routing,semantic-077,semantic,1,6
routing,semantic-078,semantic,3,7
routing,semantic-079,semantic,1,7
routing,semantic-080,semantic,2,7
routing,semantic-081,semantic,1,7
routing,semantic-082,semantic,2,7
routing,semantic-083,semantic,1,7
routing,semantic-084,semantic,1,8
routing,semantic-085,semantic,1,6
routing,semantic-086,semantic,1,6
routing,semantic-087,semantic,1,8
routing,semantic-088,semantic,6,8
routing,semantic-089,semantic,0,7
routing,semantic-090,semantic,1,7
routing,semantic-091,semantic,1,7
routing,semantic-092,semantic,1,7
routing,semantic-093,semantic,2,7
routing,semantic-094,semantic,0,8
routing,semantic-095,semantic,5,7
routing,semantic-096,semantic,2,8
routing,semantic-097,semantic,1,8
routing,semantic-098,semantic,0,6
routing,semantic-099,semantic,1,6
routing,semantic-100,semantic,2,7
routing,semantic-101,semantic,1,8
routing,semantic-102,semantic,1,7
routing,semantic-103,semantic,1,6
routing,semantic-104,semantic,1,6
routing,semantic-105,semantic,1,8
routing,semantic-106,semantic,1,7
routing,semantic-107,semantic,1,6
routing,semantic-108,semantic,1,7
routing,semantic-109,semantic,1,6
routing,semantic-110,semantic,1,6
routing,semantic-111,semantic,4,8
routing,semantic-112,semantic,2,6
routing,semantic-113,semantic,2,7
routing,semantic-114,semantic,0,6
routing,semantic-115,semantic,3,6
routing,semantic-116,semantic,3,8
routing,semantic-117,semantic,1,6
routing,semantic-118,semantic,1,7
routing,semantic-119,semantic,1,6
routing,semantic-120,semantic,1,7
